"Libellé Sortie";"Code Enquète";"Observateurs";"Num Enquéte";"Heure Début";"Enquete Hors Panier";"Panier Complet";"Pecheur Sensibilisé";"Pecheur enqueté";"Constitution Groupe";"Nb adultes";"Nb enfants";"Nb tous petits";"Nb pecheurs groupe";"Nb Pecheurs Sensibilises";"Nb Reglettes";"Nb Depliants";"Observations";"Annuaire de marée";"Etat Sanitaire";"Source d'information";"Equipé Téléphone portable";"Connaissance Numéro Secours";"Numéro Secours";"Critéres choix site"
"Cap Gris Nez_02/09/2016_HB_356";;"HB";"356.0";"09:20";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"Pêcheur seul";1;0;;1;;0;;;"Oui";"Oui";"Médias (journaux, radios, tv)";;;;""
"Cap Gris Nez_02/09/2016_MLI_357";;"MLI";"357.0";"09:20";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"Pêcheur seul";1;0;;1;;1;;;"Oui";"Non";"Aucune";;;;""
"Cap Gris Nez_02/09/2016_MLI_358";;"MLI";"358.0";"09:00";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"Pêcheur seul";1;0;;1;;1;;;"Oui";"Non";"Aucune";;;;""
"Cap Gris Nez_02/09/2016_MLI_359";;"MLI";"359.0";"08:30";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"Pêcheur seul";1;0;;1;;1;;;"Oui";"Non";"Aucune";;;;""
"Cap Gris Nez_02/09/2016_MLI_360";;"MLI";"360.0";"08:15";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En groupe d'amis";2;0;;2;;1;;;"Oui";"Non";"Aucune";;;;""
"Cap Gris Nez_14/09/2014_AM_167";;"AM";"167.0";"11:10";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En groupe d'amis";7;0;;7;;;;;"Oui";"Non";"Aucune";;;;"Qualité gisement"
"Cap Gris Nez_14/09/2014_AM_168";;"AM";"168.0";"10:55";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En groupe d'amis";3;0;;3;;;;;"Oui";"Non";"Aucune";;;;"Qualité gisement | Autre critère"
"Cap Gris Nez_14/09/2014_AM_169";;"AM";"169.0";"10:55";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";;;;;;;;;;"Non renseigné";"NC";"";;;;""
"Cap Gris Nez_14/09/2014_AM_170";;"AM";"170.0";"10:43";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"Pêcheur seul";1;0;;1;;;;;"Oui";"NC";"";;;;"Proximité"
"Cap Gris Nez_14/09/2014_AM_171";;"AM";"171.0";"10:39";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En famille";4;2;;6;;;;;"Oui";"NC";"";;;;"Fidélité"
"Cap Gris Nez_14/09/2014_AM_172";;"AM";"172.0";"10:35";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"Pêcheur seul";1;0;;1;;;;;"Oui";"NC";"";;;;"Autre activité ou opportunisme"
"Cap Gris Nez_14/09/2014_AM_173";;"AM";"173.0";"11:40";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"Pêcheur seul";1;0;;1;;;;;"Oui";"Non";"Aucune";;;;"Proximité"
"Cap Gris Nez_14/09/2014_AM_174";;"AM";"174.0";"11:40";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En couple";2;0;;2;;;;;"Oui";"Non";"Culture locale / habitude";;;;"Qualité gisement"
"Cap Gris Nez_14/09/2014_AM_175";;"AM";"175.0";"11:50";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En famille";3;0;;3;;;;;"Oui";"Non";"Culture locale / habitude";;;;"Fidélité"
"Cap Gris Nez_14/09/2014_AM_176";;"AM";"176.0";"11:20";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En couple";2;0;;2;;;;;"Oui";"Non";"Aucune";;;;"Fidélité"
"Cap Gris Nez_14/09/2014_AM_177";;"AM";"177.0";"11:30";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En couple";2;0;;2;;;;;"Oui";"Non";"Aucune";;;;"Qualité gisement"
"Cap Gris Nez_14/09/2014_AM_178";;"AM";"178.0";"10:30";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"Pêcheur seul";1;0;;1;;;;;"Oui";"Non";"Aucune";;;;"Qualité gisement"
"Cap Gris Nez_14/09/2014_AM_179";;"AM";"179.0";"10:24";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En famille";3;0;;3;;;;;"Oui";"Non";"Aucune";;;;"Qualité gisement | Proximité"
"Cap Gris Nez_14/09/2014_AM_180";;"AM";"180.0";"10:05";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En couple";2;0;;2;;;;;"Oui";"Non";"Aucune";;;;"Qualité gisement"
"Cap Gris Nez_14/09/2014_AM_181";;"AM";"181.0";"10:20";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En groupe d'amis";2;0;;2;;;;;"Oui";"Oui";"";;;;"Qualité gisement"
