"Libellé Sortie";"Code Enquète";"Observateurs";"Num Enquéte";"Heure Début";"Enquete Hors Panier";"Panier Complet";"Pecheur Sensibilisé";"Pecheur enqueté";"Constitution Groupe";"Nb adultes";"Nb enfants";"Nb tous petits";"Nb pecheurs groupe";"Nb Pecheurs Sensibilises";"Nb Reglettes";"Nb Depliants";"Observations";"Annuaire de marée";"Etat Sanitaire";"Source d'information";"Equipé Téléphone portable";"Connaissance Numéro Secours";"Numéro Secours";"Critéres choix site"
"Arcouest_01/03/2014_Christelle Barth_1";;"Christelle Barth";"1.0";;"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En famille";3;0;;3;;0;;;"Oui";"Oui";"Médias (journaux, radios, tv)";;;;"Proximité"
"Arcouest_01/03/2014_Dominique Rault_1";;"Dominique Rault";"1.0";"14:00";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En famille";2;3;;5;;0;;"fait découvrir le coin aux enfants";"Oui";"Non";"Aucune";;;;"Recommandation"
"Arcouest_01/03/2014_Dominique Rault_2";;"Dominique Rault";"2.0";;"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"Pêcheur seul";1;0;;1;;0;;;"Oui";"Oui";"Capitainerie / Club Nautique / Préfecture / Affaires maritimes / Mairies ";;;;"Improvisé ou par hasard (non choix)"
"Arcouest_01/03/2014_Franck Delisle_1";;"Franck Delisle";"1.0";;"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"Pêcheur seul";1;0;;1;;0;;;"Oui";"Non";"Aucune";;;;"Qualité gisement"
"Arcouest_01/03/2014_Franck Delisle_2";;"Franck Delisle";"2.0";;"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En famille";3;0;;3;;0;;;"Oui";"Oui";"Capitainerie / Club Nautique / Préfecture / Affaires maritimes / Mairies ";;;;"Fidélité"
"Arcouest_01/03/2014_Franck Delisle_3";;"Franck Delisle";"3.0";"14:00";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En famille";2;0;;2;;0;;;"Oui";"Non";"Aucune";;;;"Proximité"
"Arcouest_02/04/2014_Franck Delisle_1";;"Franck Delisle";"1.0";"15:11";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En couple";2;0;;2;;0;;;"Oui";"NC";"";;;;"Fidélité"
"Arcouest_02/04/2014_Michel Laloi_1";;"Michel Laloi";"1.0";"15:15";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En couple";2;0;;2;;0;;;"Oui";"Oui";"Internet / Applications mobiles";;;;"Proximité"
"Arcouest_02/04/2014_Olivier Massard_1";;"Olivier Massard";"1.0";"16:00";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"Pêcheur seul";1;0;;1;;0;;;"Oui";"Non";"Aucune";;;;"Proximité | Fidélité"
"Arcouest_02/04/2014_Olivier Massard_2";;"Olivier Massard";"2.0";"15:30";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En couple";2;0;;2;;0;;;"Oui";"Non";"Aucune";;;;"Proximité | Fidélité"
"Arcouest_02/04/2014_Olivier Massard_3";;"Olivier Massard";"3.0";"15:10";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En couple";2;0;;2;;0;;;"Oui";"Non";"Aucune";;;;"Qualité gisement"
"Arcouest_03/08/2015_Anne Priac&Stephanie Plaga Lemanski_1";;"Anne Priac&Stephanie Plaga Lemanski";"1.0";"15:40";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";;2;0;;2;;1;;;"Non renseigné";"NC";"";;;;""
"Arcouest_03/08/2015_Anne Priac&Stephanie Plaga Lemanski_10";;"Anne Priac&Stephanie Plaga Lemanski";"10.0";"16:56";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";;3;0;;3;;1;;;"Non renseigné";"NC";"";;;;""
"Arcouest_03/08/2015_Anne Priac&Stephanie Plaga Lemanski_2";;"Anne Priac&Stephanie Plaga Lemanski";"2.0";"15:50";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"Pêcheur seul";1;0;;1;;1;;;"Non renseigné";"NC";"";;;;""
"Arcouest_03/08/2015_Anne Priac&Stephanie Plaga Lemanski_3";;"Anne Priac&Stephanie Plaga Lemanski";"3.0";"16:00";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";;2;0;;2;;0;;;"Non renseigné";"NC";"";;;;""
"Arcouest_03/08/2015_Anne Priac&Stephanie Plaga Lemanski_4";;"Anne Priac&Stephanie Plaga Lemanski";"4.0";"16:05";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"Pêcheur seul";1;0;;1;;1;;;"Non renseigné";"NC";"";;;;""
"Arcouest_03/08/2015_Anne Priac&Stephanie Plaga Lemanski_5";;"Anne Priac&Stephanie Plaga Lemanski";"5.0";"16:10";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"Pêcheur seul";1;0;;1;;0;;;"Non renseigné";"NC";"";;;;""
"Arcouest_03/08/2015_Anne Priac&Stephanie Plaga Lemanski_6";;"Anne Priac&Stephanie Plaga Lemanski";"6.0";"16:20";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"Pêcheur seul";1;0;;1;;0;;;"Non renseigné";"NC";"";;;;""
"Arcouest_03/08/2015_Anne Priac&Stephanie Plaga Lemanski_7";;"Anne Priac&Stephanie Plaga Lemanski";"7.0";"16:30";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"Pêcheur seul";1;0;;1;;1;;;"Non renseigné";"NC";"";;;;""
"Arcouest_03/08/2015_Anne Priac&Stephanie Plaga Lemanski_8";;"Anne Priac&Stephanie Plaga Lemanski";"8.0";"16:42";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En famille";4;1;;5;;3;;;"Non renseigné";"NC";"";;;;""
"Arcouest_03/08/2015_Anne Priac&Stephanie Plaga Lemanski_9";;"Anne Priac&Stephanie Plaga Lemanski";"9.0";"16:50";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"Pêcheur seul";1;0;;1;;0;;;"Non renseigné";"NC";"";;;;""
"Arcouest_03/08/2015_Jéremy Alain&Amandine Galli_1";;"Jéremy Alain&Amandine Galli";"1.0";;"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En famille";1;1;;2;;1;;;"Non renseigné";"NC";"";;;;""
"Arcouest_03/08/2015_Jéremy Alain&Amandine Galli_2";;"Jéremy Alain&Amandine Galli";"2.0";;"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En famille";2;2;;2;;2;;;"Non renseigné";"NC";"";;;;""
"Arcouest_03/08/2015_Jéremy Alain&Amandine Galli_3";;"Jéremy Alain&Amandine Galli";"3.0";;"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En famille";3;2;;5;;3;;;"Non renseigné";"NC";"";;;;""
"Arcouest_03/08/2015_Jéremy Alain&Amandine Galli_4";;"Jéremy Alain&Amandine Galli";"4.0";;"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";;2;0;;2;;2;;;"Non renseigné";"NC";"";;;;""
"Arcouest_04/06/2016_Franck Delisle&Denise Garin_1";;"Franck Delisle&Denise Garin";"1.0";"13:05";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"Pêcheur seul";1;0;;1;;1;;;"Non renseigné";"NC";"";;;;""
"Arcouest_04/06/2016_Franck Delisle&Denise Garin_2";;"Franck Delisle&Denise Garin";"2.0";"13:15";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En couple";2;0;;2;;2;;;"Non renseigné";"NC";"";;;;""
"Arcouest_04/06/2016_Franck Delisle&Denise Garin_3";;"Franck Delisle&Denise Garin";"3.0";"14:30";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"Pêcheur seul";1;0;;1;;1;;;"Non renseigné";"NC";"";;;;""
"Arcouest_04/06/2016_Jean-Pierre Guillosson&Morgane Declerck_1";;"Jean-Pierre Guillosson&Morgane Declerck";"1.0";"13:10";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"Pêcheur seul";1;0;;1;;1;;;"Non renseigné";"NC";"";;;;""
"Arcouest_04/06/2016_Jean-Pierre Guillosson&Morgane Declerck_2";;"Jean-Pierre Guillosson&Morgane Declerck";"2.0";"13:30";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"Pêcheur seul";1;0;;1;;0;;;"Non renseigné";"NC";"";;;;""
"Arcouest_04/06/2016_Jean-Pierre Guillosson&Morgane Declerck_3";;"Jean-Pierre Guillosson&Morgane Declerck";"3.0";"13:25";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"Pêcheur seul";1;0;;1;;0;;;"Non renseigné";"NC";"";;;;""
"Arcouest_04/06/2016_Jean-Pierre Guillosson&Morgane Declerck_4";;"Jean-Pierre Guillosson&Morgane Declerck";"4.0";;"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";;2;0;;2;;2;;;"Non renseigné";"NC";"";;;;""
"Arcouest_04/06/2016_Jean-Pierre Guillosson&Morgane Declerck_5";;"Jean-Pierre Guillosson&Morgane Declerck";"5.0";"13:15";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";;2;0;;2;;1;;;"Non renseigné";"NC";"";;;;""
"Arcouest_08/09/2014_Franck Delisle_1";;"Franck Delisle";"1.0";"14:30";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En famille";3;0;;3;;0;;;"Oui";"Non";"Culture locale / habitude";;;;"Qualité gisement"
"Arcouest_08/09/2014_Franck Delisle_2";;"Franck Delisle";"2.0";"13:20";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En couple";2;0;;2;;0;;;"Oui";"Oui";"Internet / Applications mobiles";;;;"Proximité | Fidélité | Accessibilité (parkings …)"
"Arcouest_08/09/2014_Franck Delisle_3";;"Franck Delisle";"3.0";"14:00";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En couple";2;0;;2;;0;;;"Oui";"Non";"Aucune";;;;"Fidélité"
"Arcouest_08/09/2014_Franck Delisle_4";;"Franck Delisle";"4.0";;"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"Pêcheur seul";1;0;;1;;0;;;"Oui";"Oui";"";;;;"Proximité | Fidélité"
"Arcouest_08/09/2014_Franck Delisle_5";;"Franck Delisle";"5.0";"12:50";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En famille";2;2;;4;;0;;"initiation pour les enfants";"Oui";"Non";"Aucune";;;;"Qualité gisement"
"Arcouest_08/09/2014_Franck Delisle_6";;"Franck Delisle";"6.0";"13:30";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"Pêcheur seul";1;0;;1;;0;;;"Oui";"Non";"Aucune";;;;"Proximité"
"Arcouest_08/09/2014_Franck Delisle_7";;"Franck Delisle";"7.0";"12:33";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"Pêcheur seul";1;0;;1;;0;;"Déjà enquêté lors d'une marée précédente";"Non renseigné";"NC";"";;;;""
"Arcouest_12/07/2014_Jean-Pierre Guillosson_1";;"Jean-Pierre Guillosson";"1.0";"13:10";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En famille";4;0;;4;;0;;;"Oui";"Oui";"Médias (journaux, radios, tv)";;;;"Fidélité"
"Arcouest_12/07/2014_Jean-Pierre Guillosson_2";;"Jean-Pierre Guillosson";"2.0";"13:35";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En famille";3;4;;7;;0;;;"Oui";"Non";"Aucune";;;;"Proximité"
"Arcouest_12/07/2014_Jean-Pierre Guillosson_3";;"Jean-Pierre Guillosson";"3.0";"14:00";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";;;;;;;0;;"Même groupe que Arco_20140712_JPG_2";"Oui";"Non";"Aucune";;;;""
"Arcouest_12/07/2014_Jérémy Allain_1";;"Jérémy Allain";"1.0";;"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En couple";2;0;;2;;0;;"Déjà enquêté lors d'une marée précédente";"Non renseigné";"NC";"";;;;""
"Arcouest_12/07/2014_Jérémy Allain_2";;"Jérémy Allain";"2.0";"13:20";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En groupe d'amis";3;0;;3;;0;;;"Oui";"Non";"Aucune";;;;"Qualité gisement"
"Arcouest_12/07/2014_Jérémy Allain_3";;"Jérémy Allain";"3.0";;"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"Pêcheur seul";1;0;;1;;0;;"Déjà enquêté lors d'une marée précédente";"Non renseigné";"NC";"";;;;""
"Arcouest_12/07/2014_Jérémy Allain_4";;"Jérémy Allain";"4.0";"14:00";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"Pêcheur seul";1;0;;1;;0;;;"Oui";"Non";"Aucune";;;;"Fidélité"
"Arcouest_12/07/2014_Jérémy Allain_5";;"Jérémy Allain";"5.0";;"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En couple";2;0;;2;;0;;"Déjà enquêté lors d'une marée précédente";"Non renseigné";"NC";"";;;;""
"Arcouest_12/07/2014_Olivier Massard_1";;"Olivier Massard";"1.0";"13:10";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";;;;;;;0;;"Même groupe que Arco_20140712_JPG_2";"Oui";"Non";"Aucune";;;;"Proximité"
"Arcouest_12/07/2014_Olivier Massard_2";;"Olivier Massard";"2.0";;"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En famille";2;0;;2;;0;;;"Oui";"Non";"Aucune";;;;"Fidélité"
"Arcouest_12/07/2014_Olivier Massard_3";;"Olivier Massard";"3.0";"13:20";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En famille";3;0;;3;;0;;;"Oui";"Non";"Aucune";;;;"Fidélité"
"Arcouest_12/07/2014_Olivier Massard_4";;"Olivier Massard";"4.0";"14:40";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"Pêcheur seul";1;0;;1;;0;;;"Oui";"Non";"Aucune";;;;"Qualité gisement | Fidélité"
"Arcouest_12/07/2014_Olivier Massard_5";;"Olivier Massard";"5.0";"14:20";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En famille";1;1;;2;;0;;"un adulte obervateur";"Oui";"Non";"Aucune";;;;"Fidélité"
"Arcouest_13/07/2014_Franck Delisle_1";;"Franck Delisle";"1.0";;"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En groupe d'amis";3;0;;3;;0;;;"Oui";"Oui";"Internet / Applications mobiles";;;;"Recommandation"
"Arcouest_13/07/2014_Franck Delisle_2";;"Franck Delisle";"2.0";"14:40";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"Pêcheur seul";1;0;;1;;0;;;"Oui";"Oui";"";;;;"Fidélité"
"Arcouest_13/07/2014_Franck Delisle_3";;"Franck Delisle";"3.0";;"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"Pêcheur seul";1;0;;1;;0;;"Simple échange sans questionnaire";"Oui";"NC";"";;;;""
"Arcouest_13/07/2014_Franck Delisle_4";;"Franck Delisle";"4.0";;"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En famille";4;0;;4;;0;;;"Oui";"Non";"Aucune";;;;"Proximité"
"Arcouest_13/07/2014_Franck Delisle_5";;"Franck Delisle";"5.0";;"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En famille";2;0;;2;;0;;"Déjà enquêté la veille";"Non renseigné";"NC";"";;;;""
"Arcouest_13/07/2014_Franck Delisle_6";;"Franck Delisle";"6.0";;"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En couple";2;0;;2;;0;;;"Oui";"Oui";"Professionnels du tourisme";;;;"Qualité gisement | Accessibilité (parkings …)"
"Arcouest_13/07/2014_Jean-Pierre Guillosson_1";;"Jean-Pierre Guillosson";"1.0";;"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En groupe d'amis";5;0;;5;;0;;"Groupe dispersé";"Oui";"Non";"Aucune";;;;"Fidélité"
"Arcouest_13/07/2014_Jean-Pierre Guillosson_2";;"Jean-Pierre Guillosson";"2.0";;"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En famille";4;0;;4;;0;;;"Oui";"Oui";"Bouche à oreille (autres pêcheurs, entourage, magasins, structures professionnelles …)";;;;"Recommandation"
"Arcouest_13/07/2014_Jean-Pierre Guillosson_3";;"Jean-Pierre Guillosson";"3.0";;"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En groupe d'amis";2;0;;2;;0;;;"Oui";"Oui";"Médias (journaux, radios, tv)";;;;"Proximité"
"Arcouest_13/07/2014_Jean-Pierre Guillosson_4";;"Jean-Pierre Guillosson";"4.0";;"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"Pêcheur seul";1;0;;1;;0;;;"Oui";"Non";"Aucune";;;;"Fidélité"
"Arcouest_13/07/2014_Jean-Pierre Guillosson_5";;"Jean-Pierre Guillosson";"5.0";;"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"Pêcheur seul";1;0;;1;;0;;;"Oui";"Oui";"Internet / Applications mobiles";;;;"Fidélité"
"Arcouest_13/07/2014_Olivier Massard_1";;"Olivier Massard";"1.0";;"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En groupe d'amis";8;2;;10;;0;;;"Oui";"Non";"Aucune";;;;"Fidélité"
"Arcouest_13/07/2014_Olivier Massard_2";;"Olivier Massard";"2.0";;"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En famille";5;0;;5;;0;;"Déjà enquêté la veille";"Non renseigné";"NC";"";;;;""
"Arcouest_13/07/2014_Olivier Massard_3";;"Olivier Massard";"3.0";;"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En couple";2;0;;2;;0;;;"Oui";"Non";"Aucune";;;;"Qualité gisement"
"Arcouest_13/07/2014_Olivier Massard_4";;"Olivier Massard";"4.0";;"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En famille";2;3;;5;;0;;;"Oui";"Oui";"";;;;"Proximité"
"Arcouest_13/07/2014_Olivier Massard_5";;"Olivier Massard";"5.0";;"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En famille";1;1;;2;;0;;"Déjà enquêté la veille";"Non renseigné";"NC";"";;;;""
"Arcouest_13/07/2014_Olivier Massard_6";;"Olivier Massard";"6.0";;"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En groupe d'amis";9;0;;9;;0;;;"Oui";"Non";"Aucune";;;;"Fidélité"
"Arcouest_13/07/2014_Olivier Massard_7";;"Olivier Massard";"7.0";;"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En couple";2;0;;2;;0;;"Déjà enquêté lors d'une marée précédente";"Non renseigné";"NC";"";;;;""
"Arcouest_13/08/2014_Franck Delisle+Jérémy Allain_1";;"Franck Delisle+Jérémy Allain";"1.0";;"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En groupe d'amis";3;0;;3;;;;"2 femmes. 1 homme 60-65 ans / crocs";"Non renseigné";"NC";"";;;;""
"Arcouest_13/08/2014_Franck Delisle+Jérémy Allain_2";;"Franck Delisle+Jérémy Allain";"2.0";;"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En famille";2;0;;2;;;;"2 hommes (père et fils) 45 et 20 ans / épuisette";"Non renseigné";"NC";"";;;;""
"Arcouest_13/08/2014_Franck Delisle+Jérémy Allain_3";;"Franck Delisle+Jérémy Allain";"3.0";;"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En couple";2;0;;2;;;;"1 couple 65 ans / épuisette et rateau  originaire ";"Non renseigné";"NC";"";;;;""
"Arcouest_13/08/2014_Franck Delisle+Jérémy Allain_4";;"Franck Delisle+Jérémy Allain";"4.0";;"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En famille";2;1;;3;;;;"1 couple 40 ans et leur fils 12 ans du Loire et Ch";"Non renseigné";"NC";"";;;;""
"Arcouest_13/08/2014_Franck Delisle+Jérémy Allain_5";;"Franck Delisle+Jérémy Allain";"5.0";;"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"Pêcheur seul";1;0;;1;;;;"1 femme habituée déjà enquêtée";"Non renseigné";"NC";"";;;;""
"Arcouest_13/08/2014_Franck Delisle+Jérémy Allain_6";;"Franck Delisle+Jérémy Allain";"6.0";;"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En famille";1;1;;2;;;;"1 homme 65 ans et son petit fils-10 ans / Paimpol ";"Non renseigné";"NC";"";;;;""
"Arcouest_14/06/2014_Franck Delisle_1";;"Franck Delisle";"1.0";;"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"Pêcheur seul";1;0;;1;;0;;;"Oui";"Non";"Aucune";;;;""
"Arcouest_14/06/2014_Franck Delisle_2";;"Franck Delisle";"2.0";"14:55";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En famille";2;0;;2;;0;;"fils et son père";"Oui";"Non";"Aucune";;;;"Proximité"
"Arcouest_14/06/2014_Jean-Pierre Guillosson_1";;"Jean-Pierre Guillosson";"1.0";"14:30";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"Pêcheur seul";1;0;;1;;0;;;"Oui";"Non";"Aucune";;;;"Qualité gisement"
"Arcouest_14/06/2014_Jean-Pierre Guillosson_2";;"Jean-Pierre Guillosson";"2.0";"15:00";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En groupe d'amis";1;1;;2;;0;;;"Oui";"Non";"Aucune";;;;"Proximité"
"Arcouest_14/06/2014_Jean-Pierre Guillosson_3";;"Jean-Pierre Guillosson";"3.0";"14:15";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En groupe d'amis";3;0;;3;;0;;;"Non";"Non";"Aucune";;;;"Recommandation"
"Arcouest_14/06/2014_Jean-Pierre Guillosson_4";;"Jean-Pierre Guillosson";"4.0";;"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En couple";2;0;;2;;0;;;"Non";"Non";"Aucune";;;;"Fidélité"
"Arcouest_14/06/2014_Olivier Massard_1";;"Olivier Massard";"1.0";;"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"Pêcheur seul";1;0;;1;;0;;;"Oui";"Non";"Aucune";;;;"Fidélité"
"Arcouest_14/06/2014_Olivier Massard_2";;"Olivier Massard";"2.0";;"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"Pêcheur seul";1;0;;1;;0;;;"Oui";"Non";"Aucune";;;;"Fidélité"
"Arcouest_14/06/2014_Olivier Massard_3";;"Olivier Massard";"3.0";;"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"Pêcheur seul";1;0;;1;;0;;;"Non renseigné";"NC";"";;;;""
"Arcouest_14/06/2014_Olivier Massard_4";;"Olivier Massard";"4.0";"14:45";"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En groupe d'amis";4;0;;4;;0;;;"Oui";"Oui";"Panneau d'information/affichage";;;;"Proximité"
"Arcouest_14/06/2014_Olivier Massard_5";;"Olivier Massard";"5.0";;"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En couple";2;0;;2;;0;;;"Oui";"Non";"Aucune";;;;"Qualité gisement | Proximité"
"Arcouest_14/06/2014_Olivier Massard_6";;"Olivier Massard";"6.0";;"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En couple";2;0;;2;;0;;;"Oui";"Oui";"";;;;"Qualité gisement | Proximité | Fidélité"
"Arcouest_14/06/2014_Olivier Massard_7";;"Olivier Massard";"7.0";;"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"En groupe d'amis";4;0;;4;;0;;;"Oui";"Non";"Aucune";;;;"Fidélité"
"Arcouest_17/05/2015_Jérémy Allain_11";;"Jérémy Allain";"11.0";;"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";;;;;3;;1;;;"Non renseigné";"NC";"";;;;""
"Arcouest_17/05/2015_Jérémy Allain_12";;"Jérémy Allain";"12.0";;"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"Pêcheur seul";1;0;;1;;;;;"Non renseigné";"NC";"";;;;""
"Arcouest_17/05/2015_Jérémy Allain_13";;"Jérémy Allain";"13.0";;"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"Pêcheur seul";1;0;;1;;;;;"Non renseigné";"NC";"";;;;""
"Arcouest_17/05/2015_Jérémy Allain_14";;"Jérémy Allain";"14.0";;"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";;;;;2;;;;;"Non renseigné";"NC";"";;;;""
"Arcouest_17/05/2015_Jérémy Allain_15";;"Jérémy Allain";"15.0";;"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";;;;;2;;;;;"Non renseigné";"NC";"";;;;""
"Arcouest_21/03/2015_JeanPierre Guillosson+StéphaniePlagaLemanski_1";;"JeanPierre Guillosson+StéphaniePlagaLemanski";"1.0";;"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";;;;;2;;2;;"griffes";"Non renseigné";"NC";"";;;;""
"Arcouest_21/03/2015_JeanPierre Guillosson+StéphaniePlagaLemanski_10";;"JeanPierre Guillosson+StéphaniePlagaLemanski";"10.0";;"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"Pêcheur seul";1;0;;1;;1;;;"Non renseigné";"NC";"";;;;""
"Arcouest_21/03/2015_JeanPierre Guillosson+StéphaniePlagaLemanski_11";;"JeanPierre Guillosson+StéphaniePlagaLemanski";"11.0";;"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"Pêcheur seul";1;0;;1;;;;;"Non renseigné";"NC";"";;;;""
"Arcouest_21/03/2015_JeanPierre Guillosson+StéphaniePlagaLemanski_12";;"JeanPierre Guillosson+StéphaniePlagaLemanski";"12.0";;"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";;;;;2;;1;;;"Non renseigné";"NC";"";;;;""
"Arcouest_21/03/2015_JeanPierre Guillosson+StéphaniePlagaLemanski_2";;"JeanPierre Guillosson+StéphaniePlagaLemanski";"2.0";;"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"Pêcheur seul";1;0;;1;;1;;"rateau";"Non renseigné";"NC";"";;;;""
"Arcouest_21/03/2015_JeanPierre Guillosson+StéphaniePlagaLemanski_3";;"JeanPierre Guillosson+StéphaniePlagaLemanski";"3.0";;"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"Pêcheur seul";1;0;;1;;1;;"rateau taille ok";"Non renseigné";"NC";"";;;;""
"Arcouest_21/03/2015_JeanPierre Guillosson+StéphaniePlagaLemanski_4";;"JeanPierre Guillosson+StéphaniePlagaLemanski";"4.0";;"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"Pêcheur seul";1;0;;1;;1;;;"Non renseigné";"NC";"";;;;""
"Arcouest_21/03/2015_JeanPierre Guillosson+StéphaniePlagaLemanski_5";;"JeanPierre Guillosson+StéphaniePlagaLemanski";"5.0";;"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"Pêcheur seul";1;0;;1;;1;;;"Non renseigné";"NC";"";;;;""
"Arcouest_21/03/2015_JeanPierre Guillosson+StéphaniePlagaLemanski_6";;"JeanPierre Guillosson+StéphaniePlagaLemanski";"6.0";;"Non renseigné";"Non renseigné";"Non renseigné";"Non renseigné";"Pêcheur seul";1;0;;1;;1;;;"Non renseigné";"NC";"";;;;""
